puuid,gameName,tagLine,leaderboardRank,rankedRating,numberOfWins,competitiveTier
ZeVEHfTj149oxkfHcAIZVZhXEa_tG76gmsU_GCPlX5ISuNlyqSPU7keGPKdQ4xkgh094io9ONWaLeA,NKT qqGOD,Wolf,118,746,64,24
xH5KLYpxrML5s-K6nq_-bF_bfEQLc9FpB1q0LewkJMSyardCs8_rS-_fGGqo3HNE24cg6djYapuspw,BTR piercee,CNL,119,746,73,24
BfK28Ic7qPYW4_QKRf6k72SC-FI1mAh0sAcZH0oNlj7ipRP9d6wmaWbhq3HN1uqMcbHoBs8mNvmKsQ,AAA ROLEX,CSGO,120,744,133,24
qZYBgaT8lt5ySI-VC7Yn9sWxd9G1U5zMfTDOKC-Zgui8_4IXgjDzMAF0Ten354K6YYd4qaHPEK6gdw,PLM aLerT,aLerT,121,743,94,24
,,,122,742,58,24
I8JFP_6sIrtrNWFo8HU4_n2lOrWncBRDiYZGkzDzct443L3dr7UCvU9Oz_wbiwdTYWT3g4nxRHlr4A,TSM FTX RedKoh,225,123,741,69,24
5sAIInagbkJl6-MBdAPoBwHFLIOLCbdFBTm86ayIrOWDDRCFHUVwQ0HbCCUxE6DfUguDsx-eTEkS4Q,WBG AAKOvO,0821,124,739,83,24
00P_REyw57ogByaEHpV7UOCSdwqdEnv5PPMWjxs9f7HOA3hvvt7QNEjXjCsun2cGukSPB79aa_PJSA,SS ZYND,2525,125,739,135,24
P7KYaX__H7-147V_-0SJBObcOHWjislaSygyadyUu_W8Gx9aPE3iVZKSzkZQjFpNrlz6vlodbAcHBg,NCG NDG,STR,126,738,91,24
I_Yh3JuK14tTN8ysqNFqsloYohr8ySBTnUb5e7bGCIk1ndTExAtpH9vvvNzCETu0Onr09kZhSEub5g,NWG Death01,桥夜123,127,737,288,24
_XwGNfrD0VkzEs2WJBetoYEC8UiYzs2qIB9NNpBPicF0QSP630SZYluFcjoZd9f1AmHYvaCI9tjyNw,FANCY Acerola,0love,128,734,93,24
a2WeN1oKpyc3cj5bfhZ-suJOpuHEThxAzP39aGFfLiSPcrQdyy7w-lf8WRBuumT6MByV1C_dx35Nag,ORDER Texta,1595,129,733,93,24
MkLDhsKlDbUIwiz9QGWgPHeszDVRXR9Wqr8eE7S0txOu1gbbJB1zU0TicZmlFbvgCmHzJRSu5UcShw,ICON xsus,2683,130,733,117,24
mCnGRyA44WgE2xJXa3pkTbIXNrN9XuiETYUer0eOp71CB1QIVtwG4PbH2sB1NyyrrqcWnmkI_kErYA,Riza,yabai,131,730,76,24
UgjxVg6yVSVk4UnByp_ytFiCiAOYM3zD1noKwDNxYADGVvc5pioqXMEvA-Lnhh6DZVYWx8IUVYB9fQ,BTR Cud,Speed,132,730,111,24
MIip1aWbgw7faRSouqP_gkxasWQjX3Utj-1NBi7uLaFx44pxkhMcFTUDBC9G_CpxXLz3x_LjjTXLXA,SZ Grooovy,ZERO,133,730,133,24
,,,134,726,40,24
nt-3dGd04_MMWRlqRLR89smqbzX6xuxIMC7qa7y8TljIWpEj2TytZ7l6X_zBoKjT6jivprAZllCktQ,CGZ SyouTa,忍アカデミ,135,726,99,24
mN65sKRA9FxC3ztVXZToIvhrzibUCx1iWB_Jc-lijf1iSRfFUl-_-mAcBAi68jvYZkXVtB63NHoHtA,CR SeoldamZ3ro,1111,136,726,111,24
,,,137,725,50,24
,,,138,724,91,24
5oqhrV_nt2c8dhzKhSiOKBxmDK93hkgi4YEKUN8T9zRu95DlSam6yZR6iGFhMqdQXhdVTpgLObF9jg,LFT FrostyZ,SPEED,139,724,136,24
,,,140,724,99,24
TaNhOkzmr9urav6spPoFdBXdwN6x5yhB_yTA_vBgLGX0DPsU5LvYpJA4FVgPhoTlfH-bghtoG-uWhw,Hyzee,0502,141,723,93,24
rt1bAPSd5OXDyHvv2RRsqK_meTpOOWv6M2gFWZGl6SxTYXHCTzDMCMwZGpCaKb_hfkVqUOYxMsYJJg,Brxndon,0512,142,723,82,24
FQMDIFSZ4XKMgf3PVEDfMa6x5icgg0pzPzfZcx1PiahSVIBby5gY1FQmorgbu17_YfysLJSQZtY4QQ,INF slash,KingS,143,723,98,24
5uS3erPf2BO1qE3tMakGBOX9RUCtPEEHK9d_UJwM-V0V_C36YGVFwiy8aXo99w5es_2uCR74ECRiEA,Nth Meteor,1219,144,722,40,24
,,,145,722,62,24
KWtuQHoeijOgf4ZA7kKKPyx3fvNYwCbIID_p73HoHyJyQqDOvPkXNdiQkE7Ecq7spKS3xYN0sKiE-g,vascalizz,777,146,722,66,24
0lgEo7IZ63pF2t-jEebzz0F7PFT3qKj0yn1fmSrKoqOMZZOa10IhdRbUONXturNS0jZMpnyK_evNlg,NSF benaf,我爱当兵,147,721,149,24
6D0sf7utIAcvb-JtF1GddYTPbYpfaiYnYivS3nITIW82YsQrEyO72kRLpR824d-4kOT-Kc4r91ZR0g,fade,fat,148,720,111,24
sK8TxeaK4Y5TQ-ZSW6sNSCQwNcmHMvDazHb24wsr2bZThRMO-uB01UDeI6jUcdBpN3o2ZlLmEtevnA,AE natz,joan,149,719,62,24
Azo6XYyhCR_y6ZkTfi-0_cO2KEiZuQErf9MJ4dugWZrX3owCWaTuT84aBEuaSDW7Yphv9qkM-9L3iA,OAS Wild0reoo,SNCD1,150,719,79,24
7RUX-mkOsUO-eeh4pBYqhdsPpnJe3u0qNQxtwxN8Bc33ZYn4IYYMLM4df2QYx0pWYqjKJWxotlhssg,seif729,6949,151,719,148,24
xpK0SrvEIFzCOamXQtnEhuyVs054WwIDOI1rxep4zstcX0L3Q-t74dtsEG96FoPyy-Kv62YYv6v3Kg,NGX Astro,shara,152,718,96,24
s86cdsiknkl7U7L9ykEMnjR_2dpdrLDFSQQGjOjPMB0kEtPvj32Uxso_QiMU1HS1VOTPf4hSzc5e_Q,ol ok ot iaohk,bongg,153,718,80,24
7gueKKwCdbEedrQusNJSPjFhecqwR5pKQqJjpjqonu2_F6M98-oXxB7NGujvTnFjfU4S6KlJ9yeAew,VX1 Yort,VOX,154,717,72,24
1IaZfD98qbc948H039SEV8TDG-ETz0BghhwHLXkG-1fj1TL3k9W79ZDcaK1hfcDDUB-mQl29zWP_5g,SZ Anthem,SZWIN,155,717,150,24
cO6Zr4WN4ArecSc_TLdlLsBpqvQahhE2C3obQ7AAqBYjPr-P-lZ2sYkWFgZxUeqzCONwNWWIWl8Aig,DEFY Gadoerzz,Gwen,156,717,147,24
G1dab70hz8u7DYH3b9GbG0UasmZEaJOOwuKS-mhnR8a819-fQrjDFmlk4slv0uG8Bi5zt2V7jRCqeA,5M IN PARIS,7Jan,157,717,118,24
